Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Mathematical optimization)  OR Title-Abstr-Key(Program optimization)  OR Title-Abstr-Key(Programmer) ,53,['NASA breakthrough propulsion physics program', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'A systematic literature review of software visualization evaluation', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'The computer and the reprint file (3)', '[37] Internet information on ion channels: Issues of access and organization', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'Part orientation and build cost determination in layered manufacturing', 'Calculating derivatives in statistical tolerance analysis', 'Computers in the lipid research laboratory', 'Design-led component selection', 'On user-defined features', 'Calendar07', 'Current research in the conceptual design of mechanical products', 'The Aurora project: Estimation of the optical sail parameters', 'Computer-based patient record systems', 'Italian participation to interplanetary exploration: The Cassini-Huygens mission', 'Revolutionary systems and technologies for missions to the outer planets', 'Radioisotope electric propulsion of sciencecraft to the outer solar system and near-interstellar space', 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Synthesis and characterization of [(bpy)2 RuII(1,3-Me2 Lumazine)](PF6)2', 'Roadmap to a star', 'UDATE1: A computer program for the calculation of uranium-series isotopic ages', 'Preparation of Di- and polynitrates by ring-opening nitration of epoxides by dinitrogen pentoxide (N2O5)', 'Is spondylitis caused by Klebsiella?'],['Acta Astronautica', 'Computer-Aided Design', 'Journal of Systems and Software', 'Computer-Aided Design', 'Immunology Today', 'Methods in Enzymology', 'Artificial Intelligence in Medicine', 'Computer-Aided Design', 'Computer-Aided Design', 'Progress in Lipid Research', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Acta Astronautica', 'Seminars in Oncology Nursing', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Inorganica Chimica Acta', 'Acta Astronautica', 'Computers & Geosciences', 'Tetrahedron', 'Immunology Today'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Mathematical optimization)  OR Title-Abstr-Key(Program optimization)  OR Title-Abstr-Key(Programmer)  AND Title(""NASA breakthrough propulsion physics program"")",23,"['NASA breakthrough propulsion physics program', 'The Aurora project: Estimation of the optical sail parameters', 'Italian participation to interplanetary exploration: The Cassini-Huygens mission', 'Revolutionary systems and technologies for missions to the outer planets', 'Radioisotope electric propulsion of sciencecraft to the outer solar system and near-interstellar space', 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Roadmap to a star', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'The Aurora project: A new sail layout', 'Imaging of extrasolar advanced terrestrial planets', ""Applying international space station (ISS) and solar-sail technology to the exploration and diversion of small, dark near earth objects (NEO's)"", 'Preface', 'The AURORA Project: Removal of plastic substrate to obtain an all-metal solar sail', 'On the strategy of space station injection in the point of Earth — Moon Libration / way of making the asteroid patrol/', 'Space missions for SETI', 'The parachute sail with hydrostatic beam: A new concept for solar sailing', 'Design issues for a mission to exploit the gravitational lensing effect at 550 AU', 'AIMStar: Antimatter initiated microfusion for pre-cursor interstellar missions', 'The IAA Interstellar Space Exploration Committee (ISEC) its history & evolution', 'Optical thomograph of the Universe', 'Contributions from particle physics engineering developments', 'Exploring the Kuiper Belt: An extended Pluto mission', 'The liquid annular reactor system (LARS) for deep space exploration']",['Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica'],False,06:03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Hamiltonian )  OR Title-Abstr-Key(Information theory)  OR Title-Abstr-Key(Multidimensional scaling)  OR Title-Abstr-Key(Program optimization) ,256,['Research on Big Data – A systematic mapping study', 'State of the art and challenges of security SLA for cloud computing', 'A systematic review of code generation proposals from state machine specifications', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Exploring gamification to support manufacturing education on industry 4.0 as an enabler for innovation and sustainability', 'Land information systems (electronic pages) as a part of IVHS', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'A Systematic Mapping Study of Software Reliability Modeling', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'NASA breakthrough propulsion physics program', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'European Psychiatric Association (EPA) guidance on quality assurance in mental healthcare', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'A Computer-Aided Tool for the Simulation and Optimization of the Combined HDS–FCC Processes', 'Engineering periodicals: Diversity and complexity', 'A systematic literature review of software visualization evaluation', 'Principales efectos de la reserva cognitiva sobre diversas enfermedades: una revisión sistemática', 'A systematic review of evaluation of variability management approaches in software product lines', 'Modular deployment using TRM and function analysis', 'Engineering periodicals: Diversity and complexity, part 2', '6: A SURVEY OF HABI PUBLICATIONS', 'Scientific Programme – Invited Abstracts', 'The role of GIS-based spatial analysis in strategic management in local government', 'Construction of a data base for cobalt-59 nuclear magnetic resonance spectrometry'],['Computer Standards & Interfaces', 'Computers & Electrical Engineering', 'Information and Software Technology', 'Computer Methods and Programs in Biomedicine', 'Procedia Manufacturing', 'Computers, Environment and Urban Systems', 'Journal of the Academy of Nutrition and Dietetics', 'Managing Trade-Offs in Adaptable Software Architectures', 'Information and Software Technology', 'IFAC-PapersOnLine', 'Acta Astronautica', 'Data & Knowledge Engineering', 'European Psychiatry', 'Procedia Environmental Sciences', 'Chemical Engineering Research and Design', 'Serials Review', 'Journal of Systems and Software', 'Psiquiatría Biológica', 'Information and Software Technology', 'Technological Forecasting and Social Change', 'Serials Review', 'Photochemistry, History and Commercial Applications of Hexaarylbiimidazoles', 'European Journal of Cancer', 'Computers, Environment and Urban Systems', 'Analytica Chimica Acta'],"Title-Abstr-Key(Hamiltonian )  OR Title-Abstr-Key(Information theory)  OR Title-Abstr-Key(Multidimensional scaling)  OR Title-Abstr-Key(Program optimization)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],False,06:03:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Confederate effect)  OR Title-Abstr-Key(Outgroup )  OR Title-Abstr-Key(Prisoner's dilemma)  OR Title-Abstr-Key(The Current) ,1340,['A systematic review of game technologies for pediatric patients', 'State of the art and challenges of security SLA for cloud computing', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Patient-Reported Mobility: A Systematic Review', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Research on Big Data – A systematic mapping study', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors'],['Computers in Biology and Medicine', 'Computers & Electrical Engineering', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Archives of Physical Medicine and Rehabilitation', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Computer Standards & Interfaces', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology'],"Title-Abstr-Key(Confederate effect)  OR Title-Abstr-Key(Outgroup )  OR Title-Abstr-Key(Prisoner's dilemma)  OR Title-Abstr-Key(The Current)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,06:04:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Bit cell)  OR Title-Abstr-Key(CMOS)  OR Title-Abstr-Key(Feedback)  OR Title-Abstr-Key(Noise margin) ,134,['Serials in strategic planning and reorganization', 'Effects of posture and respiration on body surface electrocardiogram', 'Current titles in marine geology part I', 'Flatness based control of a nonlinear chemical reactor model', 'Current titles in marine geology. Part I', 'Current titles in marine geology', 'Current titles in marine geology', 'Current titles in marine geology part II', 'Current titles in marine geology', 'Current titles in marine geology', 'Current titles in marine geology : Part II', 'An approach to H∞ control of a class of nonlinear systems', 'Current titles in marine geology', 'Current titles in marine geology', 'Current titles in marine geology', 'Current titles in marine geology', 'The seismology of Greece', 'Current titles in marine geology', 'Current titles in marine geology', 'Reverse engineering of geometric models—an introduction', 'Three-dimensional object reconstruction from two-dimensional images', 'Surface reconstruction: from points to splines', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'High-level cad model acquisition from range images'],['Serials Review', 'The American Journal of Cardiology', 'Marine Geology', 'Automatica', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Automatica', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Tectonophysics', 'Marine Geology', 'Marine Geology', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design'],"Title-Abstr-Key(Bit cell)  OR Title-Abstr-Key(CMOS)  OR Title-Abstr-Key(Feedback)  OR Title-Abstr-Key(Noise margin)  AND Title(""Serials in strategic planning and reorganization"")",1,['Serials in strategic planning and reorganization'],['Serials Review'],False,06:05:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(C++)  OR Title-Abstr-Key(Linear network coding)  OR Title-Abstr-Key(Open-source software) ,447,['A systematic literature review of software visualization evaluation', 'A Systematic Mapping Study of Software Reliability Modeling', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'State of the art and challenges of security SLA for cloud computing', 'A systematic review of evaluation of variability management approaches in software product lines', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'A systematic literature review on electricity management systems', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Research on Big Data – A systematic mapping study', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors'],['Journal of Systems and Software', 'Information and Software Technology', 'Managing Trade-Offs in Adaptable Software Architectures', 'Computers & Electrical Engineering', 'Information and Software Technology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Renewable and Sustainable Energy Reviews', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Computer Standards & Interfaces', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(C++)  OR Title-Abstr-Key(Linear network coding)  OR Title-Abstr-Key(Open-source software)  AND Title(""A systematic literature review of software visualization evaluation"")",1,['A systematic literature review of software visualization evaluation'],['Journal of Systems and Software'],False,06:05:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cluster analysis)  OR Title-Abstr-Key(Conceptual clustering)  OR Title-Abstr-Key(Data mining) ,269,['Research on Big Data – A systematic mapping study', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Current research in the conceptual design of mechanical products', 'Seismicity induced by mining: Ten years later', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'Calculating derivatives in statistical tolerance analysis', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'A systematic literature review of software visualization evaluation', 'Rock slope engineering: by E. Hoek & J. W. Bray. Revised 2nd Edn. Institute of Mining & Metallurgy, London, 1977. 402 pp., £10 (U.S. $19)', 'Engineering periodicals: Diversity and complexity', 'Accuracy of MR imaging in the work-up of suspicious breast lesions: A diagnostic meta-analysis', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Current titles in marine geology', 'Current titles in soil science', 'Current titles in marine geology', 'Current titles in marine geology', 'Current titles in marine geology', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'Mechanics of thrust faults and decollement: edited by B. Voight. Dowden, Hutchinson & Ross, Stroudsberg, Penn. (distributed by John Wiley & Sons Ltd.), 1977. 471 pp., £24.00 (U.S. $40.65)', 'Current titles in marine geology', 'Editorial', 'Current titles in soil science', 'Current titles in soil science', 'Current titles in marine geology, part II', 'Rock mass characterization for large caverns in India and Norway using a new method of recording and presenting engineering geological data'],['Computer Standards & Interfaces', 'Computer Methods and Programs in Biomedicine', 'Computer-Aided Design', 'Advances in Geophysics', 'Procedia Environmental Sciences', 'Computer-Aided Design', 'Computer-Aided Design', 'Journal of Systems and Software', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Serials Review', 'Academic Radiology', 'IFAC-PapersOnLine', 'Marine Geology', 'Geoderma', 'Marine Geology', 'Marine Geology', 'Marine Geology', 'Computer-Aided Design', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Marine Geology', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Geoderma', 'Geoderma', 'Marine Geology', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cluster analysis)  OR Title-Abstr-Key(Conceptual clustering)  OR Title-Abstr-Key(Data mining)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],False,06:06:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(HTTP Live Streaming)  OR Title-Abstr-Key(High- and low-level)  OR Title-Abstr-Key(Network congestion)  OR Title-Abstr-Key(Place and route) ,401,"['Trends in place preference conditioning with a cross-indexed bibliography; 1957–1991', 'Toward a spatial perspective on niche development: The case of Bus Rapid Transit', 'Nursing Research Journals: An Annotated Guide, Part II', 'Chapter 33: Regulatory Approval', 'Canada', 'Land information systems (electronic pages) as a part of IVHS', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Potential bile acid metabolites. 20. A new synthetic route to stereoisomeric 3,6,-dihydroxy- and 6-hydroxy-5α-cholanoic acids', 'The treatment of distant metastases in soft tissue sarcoma', 'Synthesis of hexahydroindol-6-ones by reaction of 2-methylthiopyrrolinium salts with Nazarov reagents', 'Synthesis and Diels-Alder reactions of 3-methylene-2-ferrocenylmethylenequinuclidine', 'Critiquing expert systems for planning and management', '25: Niobium and Tantalum', 'Abstracts', 'Synthesis of 4H-[1,2,3]triazolo[4,5-c][1,2,5]oxadiazole 5-oxide and its N- and O-alkyl derivatives', 'A highly efficient synthesis of (Z) γ-iodo allylic alcohols', 'Free periodicals', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', '5.3: Six-membered Rings with Two or More Heteroatoms with at least One Phosphorus Atom', 'Craniofacial surgery. Proceedings of the first international congress of the International Society of Cranio-Maxillo-Facial Surgery: Edited by Daniel Marchac. Pp. 495. 1987. Heidelberg, Springer Verlag. Hardback, DM398', 'Design and construction of a wide tunnel under shallow cover — The Lafayette Bluff tunnel south portal', 'Carbonylhydrido tris(triphenylphosphine)rhodium(I)', 'Implementation and management effectiveness in adoption of GIS technology in local governments', 'A study of the reactivity of (methyl 2-acetamidoacrylate)-tricarbonyliron(0) leading to a novel synthesis of β,β,β-trialkyl α-amino acids', 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond']",['Neuroscience & Biobehavioral Reviews', 'Environmental Innovation and Societal Transitions', 'Serials Review', 'Clinical Trials (Second Edition)', 'Journal of Government Information', 'Computers, Environment and Urban Systems', 'IFAC-PapersOnLine', 'Steroids', 'Seminars in Radiation Oncology', 'Tetrahedron Letters', 'Tetrahedron', 'Computers, Environment and Urban Systems', 'Comprehensive Organometallic Chemistry', 'Journal of Cranio-Maxillofacial Surgery', 'Tetrahedron Letters', 'Tetrahedron Letters', 'Serials Review', 'Metal Oxides in Heterogeneous Catalysis', 'Phosphorus-Carbon Heterocyclic Chemistry', 'Journal of Dentistry', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Polyhedron', 'Computers, Environment and Urban Systems', 'Inorganica Chimica Acta', 'Acta Astronautica'],"Title-Abstr-Key(HTTP Live Streaming)  OR Title-Abstr-Key(High- and low-level)  OR Title-Abstr-Key(Network congestion)  OR Title-Abstr-Key(Place and route)  AND Title(""Trends in place preference conditioning with a cross-indexed bibliography; 1957–1991"")",0,[],[],True,06:07:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Buffer overflow)  OR Title-Abstr-Key(Code Red )  OR Title-Abstr-Key(Computer)  OR Title-Abstr-Key(Denial-of-service attack) ,9,['Food Matters: Changing Dimensions of Science and Practice in the Nutrition Profession', 'Depression in hospitalized medically ill elders: Evolution of the concept', 'Abstracts', 'The contribution of early memories and dreams to the diagnostic process', 'The relation of social to biological processes in disease', 'Psychotherapeutic Procedures with the Retarded', 'Organization of the affective life a critical survey', 'Special issue on diabetic peripheral neuropathies physiopathology and clinical guidelines', 'III: CHARACTERISTIC MANIFESTATIONS OF STRESS'],['Journal of Nutrition Education', 'Archives of Psychiatric Nursing', 'European Psychiatry', 'Comprehensive Psychiatry', 'Social Science & Medicine', 'International Review of Research in Mental Retardation', 'Acta Psychologica', 'Diabetes Research and Clinical Practice', 'Stress in Health and Disease'],"Title-Abstr-Key(Buffer overflow)  OR Title-Abstr-Key(Code Red )  OR Title-Abstr-Key(Computer)  OR Title-Abstr-Key(Denial-of-service attack)  AND Title(""Food Matters: Changing Dimensions of Science and Practice in the Nutrition Profession"")",1,['Food Matters: Changing Dimensions of Science and Practice in the Nutrition Profession'],['Journal of Nutrition Education'],False,06:08:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Document)  OR Title-Abstr-Key(Expressive power )  OR Title-Abstr-Key(Machine learning) ,140,['Research on Big Data – A systematic mapping study', 'A Systematic Mapping Study of Software Reliability Modeling', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Exploring gamification to support manufacturing education on industry 4.0 as an enabler for innovation and sustainability', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'The Internet and the Informational Bulimia', 'Chapter 33: Regulatory Approval', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'Serials in strategic planning and reorganization', 'US government (depository items)', 'Engineering periodicals: Diversity and complexity', 'Fire science research: A review of selected journals', 'Expert systems and evolutionary computing for financial investing: A review', 'Semantic community Web portals', 'Engineering periodicals: Diversity and complexity, part 2', 'Land information systems (electronic pages) as a part of IVHS', '“when tillage begins, other arts follow …” — A core list of agriculture serials', 'Abstracts', 'Part orientation and build cost determination in layered manufacturing', 'My scientific life: 40 years at the College de France', 'Current research in the conceptual design of mechanical products', 'Critiquing expert systems for planning and management'],['Computer Standards & Interfaces', 'Information and Software Technology', 'Computer Methods and Programs in Biomedicine', 'Procedia Manufacturing', 'Computer-Aided Design', 'Artificial Intelligence in Medicine', 'Procedia - Social and Behavioral Sciences', 'Clinical Trials (Second Edition)', 'Data & Knowledge Engineering', 'Managing Trade-Offs in Adaptable Software Architectures', 'Computer-Aided Design', 'Serials Review', 'Journal of Government Information', 'Serials Review', 'Serials Review', 'Expert Systems with Applications', 'Computer Networks', 'Serials Review', 'Computers, Environment and Urban Systems', 'Serials Review', 'Journal of Cranio-Maxillofacial Surgery', 'Computer-Aided Design', 'Neuroscience & Biobehavioral Reviews', 'Computer-Aided Design', 'Computers, Environment and Urban Systems'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Document)  OR Title-Abstr-Key(Expressive power )  OR Title-Abstr-Key(Machine learning)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],False,06:09:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Automated theorem proving)  OR Title-Abstr-Key(Buchberger's algorithm)  OR Title-Abstr-Key(Computation) ,331,['State of the art and challenges of security SLA for cloud computing', 'Research on Big Data – A systematic mapping study', 'A systematic literature review on electricity management systems', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'A systematic review of code generation proposals from state machine specifications', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'A Systematic Mapping Study of Software Reliability Modeling', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients', 'Expert systems and evolutionary computing for financial investing: A review', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Engineering periodicals: Diversity and complexity', 'A systematic review of evaluation of variability management approaches in software product lines', 'Computational strategies for tire modeling and analysis', 'Engineering periodicals: Diversity and complexity, part 2', 'Exploring the educational potential of robotics in schools: A systematic review', 'Consistency of spatial database query results', 'A systematic literature review of software visualization evaluation', 'Land information systems (electronic pages) as a part of IVHS', 'Current titles in soil science', 'The role of GIS-based spatial analysis in strategic management in local government', 'Abstracts', 'Guide for Authors', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO'],['Computers & Electrical Engineering', 'Computer Standards & Interfaces', 'Renewable and Sustainable Energy Reviews', 'Computer Methods and Programs in Biomedicine', 'Information and Software Technology', 'Procedia Environmental Sciences', 'Information and Software Technology', 'IFAC-PapersOnLine', 'Computer-Aided Design', 'Gastroenterology', 'Expert Systems with Applications', 'Managing Trade-Offs in Adaptable Software Architectures', 'Serials Review', 'Information and Software Technology', 'Computers & Structures', 'Serials Review', 'Computers & Education', 'Computers, Environment and Urban Systems', 'Journal of Systems and Software', 'Computers, Environment and Urban Systems', 'Geoderma', 'Computers, Environment and Urban Systems', 'Journal of Cranio-Maxillofacial Surgery', 'Journal of Pharmaceutical and Biomedical Analysis', 'Data & Knowledge Engineering'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Automated theorem proving)  OR Title-Abstr-Key(Buchberger's algorithm)  OR Title-Abstr-Key(Computation)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,06:10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cold start)  OR Title-Abstr-Key(Collaborative filtering)  OR Title-Abstr-Key(Experiment) ,1033,['State of the art and challenges of security SLA for cloud computing', 'A systematic review of code generation proposals from state machine specifications', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Efficacy of feeding selenium-enriched yeast to finishing beef cattle', 'Guide for authors', 'A Systematic Mapping Study of Software Reliability Modeling', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'A systematic literature review of software visualization evaluation', 'Key word index', 'microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients', 'A systematic review of evaluation of variability management approaches in software product lines', 'Instructions for Authors of Journal of Dairy Science', 'Comparative Studies on Mass Spectrometric Fragmentation of Linear Chiral Secondary Alcohols (R)-1-(4-Alkylphenyl) and (R)-1-(4-Alkoxyphenyl/Alkylthiophenyl) Alcohols', 'Instructions for Authors of Journal of Dairy Science', 'Chapter 2: motion graphics in film and television: an overview', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature', 'Instructions for Authors of Journal of Dairy Science', 'Dissertation titles US, UK, AND CANADIAN dissertations', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'Instructions for Authors of Journal of Dairy Science', 'US government (depository items)', 'Instructions to contributors', 'Instructions to contributors', 'Fire science research: A review of selected journals'],['Computers & Electrical Engineering', 'Information and Software Technology', 'Computer Methods and Programs in Biomedicine', 'The Professional Animal Scientist', 'Applied Animal Behaviour Science', 'Information and Software Technology', 'Procedia Environmental Sciences', 'Journal of Systems and Software', 'Journal of Bioscience and Bioengineering', 'Gastroenterology', 'Information and Software Technology', 'Journal of Dairy Science', 'Chemical Research in Chinese Universities', 'Journal of Dairy Science', 'Motion Graphic Design (Second Edition)', 'Managing Trade-Offs in Adaptable Software Architectures', 'Serials Review', 'Journal of Dairy Science', 'Polymer Contents', 'Computer-Aided Design', 'Journal of Dairy Science', 'Journal of Government Information', 'Bioorganic & Medicinal Chemistry', 'Bioorganic & Medicinal Chemistry', 'Serials Review'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cold start)  OR Title-Abstr-Key(Collaborative filtering)  OR Title-Abstr-Key(Experiment)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,06:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
